order_id,customer_id,order_date,category,payment_method,pincode_tier,order_value,discount_percent,is_rto,is_return,outcome,return_reason,is_bad_order,past_order_count,past_return_count,past_rto_count,past_return_rate,past_rto_rate
ORD_0004519,CUST_04832,2023-01-01 00:00:00,Footwear,Prepaid,Tier_2,4043.44,32.35,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0005725,CUST_01198,2023-01-01 01:00:00,Home,Prepaid,Tier_2,3959.72,21.97,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0001362,CUST_02418,2023-01-01 01:00:00,Electronics,Prepaid,Tier_1,599.45,1.44,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0008712,CUST_05059,2023-01-01 02:00:00,Fashion,COD,Tier_1,1061.47,43.81,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0008509,CUST_05083,2023-01-01 04:00:00,Fashion,Prepaid,Tier_2,713.27,49.8,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0002349,CUST_04118,2023-01-01 04:00:00,Electronics,COD,Tier_1,652.6,20.08,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0002579,CUST_05782,2023-01-01 05:00:00,Beauty,Prepaid,Tier_3,1436.12,6.28,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0000417,CUST_02232,2023-01-01 06:00:00,Electronics,COD,Tier_3,345.0,17.25,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0003069,CUST_03112,2023-01-01 08:00:00,Beauty,COD,Tier_3,1014.58,34.2,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0001119,CUST_05101,2023-01-01 08:00:00,Footwear,Prepaid,Tier_1,403.47,1.12,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0006223,CUST_05905,2023-01-01 08:00:00,Fashion,COD,Tier_2,2134.67,27.42,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0004324,CUST_04801,2023-01-01 12:00:00,Home,COD,Tier_1,1072.95,15.74,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0005404,CUST_04785,2023-01-01 13:00:00,Home,Prepaid,Tier_2,494.72,38.7,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0005652,CUST_05835,2023-01-01 14:00:00,Electronics,Prepaid,Tier_2,760.54,6.89,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
