order_id,customer_id,order_date,category,payment_method,pincode_tier,order_value,discount_percent,is_rto,is_return,outcome,return_reason,is_bad_order,past_order_count,past_return_count,past_rto_count,past_return_rate,past_rto_rate
ORD_0001548,CUST_01216,2023-01-01 00:00:00,Beauty,COD,Tier_1,1791.88,46.31,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0009133,CUST_01252,2023-01-01 01:00:00,Fashion,COD,Tier_3,310.85,15.65,0,1,Returned,Not as Expected,1,0,0.0,0.0,0.0,0.0
ORD_0007363,CUST_05932,2023-01-01 01:00:00,Fashion,Prepaid,Tier_3,775.77,47.82,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0004731,CUST_02065,2023-01-01 02:00:00,Fashion,Prepaid,Tier_2,523.68,22.43,0,1,Returned,Changed Mind,1,0,0.0,0.0,0.0,0.0
ORD_0008482,CUST_01136,2023-01-01 02:00:00,Beauty,COD,Tier_1,1181.14,0.7,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0002392,CUST_03602,2023-01-01 04:00:00,Footwear,COD,Tier_2,500.98,36.21,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0008836,CUST_03937,2023-01-01 04:00:00,Fashion,Prepaid,Tier_2,713.27,49.8,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0002606,CUST_02286,2023-01-01 05:00:00,Electronics,Prepaid,Tier_3,1814.67,21.03,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0009867,CUST_03836,2023-01-01 05:00:00,Electronics,Prepaid,Tier_3,302.26,33.92,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0002604,CUST_01576,2023-01-01 08:00:00,Fashion,Prepaid,Tier_3,1112.88,33.96,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0003189,CUST_02221,2023-01-01 08:00:00,Beauty,COD,Tier_3,1014.58,34.2,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0006286,CUST_03994,2023-01-01 09:00:00,Home,COD,Tier_2,1877.63,49.08,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0009343,CUST_02985,2023-01-01 10:00:00,Electronics,COD,Tier_3,1773.69,44.53,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0009429,CUST_03465,2023-01-01 11:00:00,Fashion,Prepaid,Tier_1,2427.72,33.53,0,1,Returned,Wrong Size,1,0,0.0,0.0,0.0,0.0
ORD_0000287,CUST_04394,2023-01-01 14:00:00,Fashion,COD,Tier_1,2413.47,8.21,0,1,Returned,Wrong Size,1,0,0.0,0.0,0.0,0.0
ORD_0008092,CUST_00577,2023-01-01 14:00:00,Footwear,COD,Tier_3,929.33,42.03,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0008454,CUST_03707,2023-01-01 15:00:00,Fashion,Prepaid,Tier_1,826.07,46.5,0,1,Returned,Wrong Size,1,0,0.0,0.0,0.0,0.0
ORD_0002133,CUST_02586,2023-01-01 16:00:00,Electronics,COD,Tier_2,1988.7,27.68,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0002911,CUST_01972,2023-01-01 16:00:00,Electronics,COD,Tier_1,2655.2,8.39,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0005301,CUST_01087,2023-01-01 17:00:00,Electronics,Prepaid,Tier_3,1638.95,14.48,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0003330,CUST_00877,2023-01-01 18:00:00,Beauty,COD,Tier_2,1952.8,18.69,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0002854,CUST_04434,2023-01-01 19:00:00,Electronics,COD,Tier_1,602.15,34.58,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0008215,CUST_05183,2023-01-01 22:00:00,Fashion,Prepaid,Tier_1,3986.86,47.52,0,1,Returned,Wrong Size,1,0,0.0,0.0,0.0,0.0
ORD_0006785,CUST_02261,2023-01-02 00:00:00,Fashion,COD,Tier_1,522.1,20.24,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0002697,CUST_01527,2023-01-02 01:00:00,Beauty,Prepaid,Tier_3,548.14,47.13,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0009919,CUST_05111,2023-01-02 02:00:00,Footwear,COD,Tier_2,313.64,42.82,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0004730,CUST_03761,2023-01-02 03:00:00,Footwear,Prepaid,Tier_2,1499.39,7.9,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0003986,CUST_02090,2023-01-02 05:00:00,Electronics,COD,Tier_2,1533.22,48.29,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0008282,CUST_05672,2023-01-02 05:00:00,Footwear,COD,Tier_2,3972.92,38.91,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0003144,CUST_05078,2023-01-02 09:00:00,Home,COD,Tier_2,1940.94,8.57,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0006760,CUST_04470,2023-01-02 11:00:00,Electronics,COD,Tier_1,5456.12,10.17,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0005359,CUST_02357,2023-01-02 11:00:00,Home,Prepaid,Tier_2,529.91,14.42,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0007568,CUST_01160,2023-01-02 11:00:00,Electronics,Prepaid,Tier_3,2879.65,12.7,0,1,Returned,Wrong Size,1,0,0.0,0.0,0.0,0.0
ORD_0004022,CUST_00432,2023-01-02 11:00:00,Footwear,COD,Tier_3,1892.79,34.33,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0003555,CUST_01955,2023-01-02 14:00:00,Footwear,COD,Tier_3,1524.61,17.36,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0007377,CUST_05033,2023-01-02 14:00:00,Fashion,Prepaid,Tier_2,3124.22,27.84,0,1,Returned,Wrong Size,1,0,0.0,0.0,0.0,0.0
ORD_0007968,CUST_03677,2023-01-02 17:00:00,Fashion,COD,Tier_2,2194.11,20.37,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0006076,CUST_00959,2023-01-02 17:00:00,Fashion,Prepaid,Tier_2,302.07,33.98,0,1,Returned,Wrong Size,1,0,0.0,0.0,0.0,0.0
ORD_0002341,CUST_04513,2023-01-02 17:00:00,Fashion,COD,Tier_2,6258.19,39.09,0,1,Returned,Changed Mind,1,0,0.0,0.0,0.0,0.0
ORD_0003852,CUST_02335,2023-01-02 18:00:00,Electronics,COD,Tier_3,1462.64,41.37,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0003643,CUST_03597,2023-01-02 20:00:00,Home,COD,Tier_3,4241.05,0.4,0,1,Returned,Changed Mind,1,0,0.0,0.0,0.0,0.0
ORD_0001384,CUST_05933,2023-01-02 21:00:00,Footwear,COD,Tier_3,938.56,16.52,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0008269,CUST_03990,2023-01-02 22:00:00,Footwear,COD,Tier_2,325.87,6.29,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0006721,CUST_05123,2023-01-03 00:00:00,Electronics,Prepaid,Tier_1,378.92,5.75,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0005660,CUST_03932,2023-01-03 03:00:00,Home,COD,Tier_3,1644.32,25.48,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0002844,CUST_02085,2023-01-03 04:00:00,Electronics,COD,Tier_3,854.25,32.74,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0001803,CUST_04748,2023-01-03 05:00:00,Fashion,COD,Tier_1,1032.89,45.89,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0003781,CUST_00639,2023-01-03 05:00:00,Fashion,COD,Tier_2,772.94,16.13,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0004782,CUST_03429,2023-01-03 05:00:00,Footwear,Prepaid,Tier_1,4720.18,9.56,0,1,Returned,Wrong Size,1,0,0.0,0.0,0.0,0.0
ORD_0001053,CUST_04046,2023-01-03 07:00:00,Fashion,COD,Tier_1,575.55,20.53,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
ORD_0009307,CUST_02457,2023-01-03 07:00:00,Electronics,Prepaid,Tier_2,324.51,48.32,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0004495,CUST_01515,2023-01-03 07:00:00,Footwear,COD,Tier_3,3035.25,6.83,1,0,RTO,,1,0,0.0,0.0,0.0,0.0
ORD_0006478,CUST_03592,2023-01-03 09:00:00,Fashion,Prepaid,Tier_1,1796.56,19.03,0,0,Delivered,,0,0,0.0,0.0,0.0,0.0
